"tag","condition_verbose","response","node3"
"t100000","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","They were too lazy to explore so just got pizza.","C=0"
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","He felt like going for a walk and wanted pizza.","Pu_f=0"
"t111010","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","Hot dogs are their favourite food.","P=1"
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","His favourite food might be pizza.","P=0"
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","He may not have known pizza was just as close and was too lazy to find out.","Ku_f=0"
"t101001","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","They wanted to go for a long walk before eating.","Cu=1"
"t110111","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Wanted to check what the pizza van was offering before getting hot dogs as usual.","br_p=1"
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Charlie wanted to get some exercise in because he know he is generally lazy","Cu=1"
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","Brooklyn wanted pizza and kept walking until he found it.","Pu_f=0"
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Saw the pizza stand was close and went since Adrian is lazy","C=0"
"t111100","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","Taylor wanted to mix it up and have pizza instead","Pu_f=0"
"t101011","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","Jesse was looking for hot dogs and kept walking until he found them","Pu_f=1"
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","Drew wanted hot dogs.","Pu_f=1"
"t100010","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","Didn't fancy pizza so walked the other way hoping something else would pop up","Pu_f=1"
"t110001","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","Parker decided he needed some exercise as he is generally lazy and also wanted to mix it up and not eat hot dogs again","Pu_f=0"
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","He knows the area well","K=1"
"t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","he is sporty and wanted to walk all the way around to see what was there","C=1"
"t111000","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","they wanted to have something different to eat","Pu_f=0"
"t110101","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","they did not fancy a hotdog today so carried on walking","Pu_f=0"
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","stopped at the first place he came across","Ku_f=0"
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","He decided to have a longer walk for achange","Cu=1"
"t100110","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","he is lazy and prefers hotdogs","P=1"
"t101111","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","they are sporty and dont know the area well so kept on walking","C=1"
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","Adrian took this path because they dont know the area well","K=0"
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","Brooklyn chose this path because they are sporty","C=1"
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","Drew chose this path because they are sporty","C=1"
"t101000","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Jesse took this path because they don't know the area well","K=0"
"t111001","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","Taylor took this path because they are sporty","C=1"
"t100111","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","Harper took this path because their favorite food is hot dogs","P=1"
"t110110","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","Parker took this path because they know the area well","K=1"
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Charlie took this path because they know the area well","K=1"
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","he goes to the hot dog stand as he is lazy and doesn't want to walk any further to investigate","C=0"
"t100000","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","He goes to the pizza stand as he is lazy","C=0"
"t101001","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","Jesse decided that she wan't in the mood for hot dogs today.","Pu_f=0"
"t110111","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Parker definitely didn't want pizza but needed the walk","Pu_f=1"
"t111010","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","he wanted hot dogs so took the direct route as he was hungry and had been out running already today.","Pu_f=1"
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","Brooklyn didn't want pizza so continued on her route and decided to have hot dog when she discovered the stand.","Pu_f=1"
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","he know he wanted to buy pizza","Pu_f=0"
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","He thought he wanted hot dogs but when he reached the stand decided he wanted pizza instead.","Pu_f=0"
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","They were looking for pizza and didn't know the area well","K=0"
"t010000","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","Charlie wanted pizza and didn't want to walk far","C=0"
"t111101","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","Taylor wanted more exercise today","Cu=1"
"t101100","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","Jesse didn't know where the hot dog stand was so stopped for pizza","Ku_f=0"
"t110010","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","Parker want straight for a hot dogs","Pu_f=1"
"t011111","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","Drew wanted exercise before getting hot dogs","Cu=1"
"t100011","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","Harper didn't know the quickest route to take","Ku_p=0"
"t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","Brookly decided on hot dogs when they saw the stand","Su=1"
"t111111","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","Taylor took the long route because he wanted to get some exercise.","Cu=1"
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Brooklyn choose to go to the Pizza van as it was the only one they could see and they didn't know the area.","K=0"
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","Adrian does not like pizza, and so despite being lazy he continued to walk until he found the other option.","P=1"
"t110100","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Parker thought the Hot Dog van he could see was too far away and decided to see if the hot dog van was closer.","C=0"
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","Being sporty, Drew decided to go the long way round to get to the pizza van.","C=1"
"t100101","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","Haper though they should do some exercise that day as they felt guilty about being lazy.","Cu=1"
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","As Charlie knows the area well he knew the Hot Dog van wouldn't be too far away and decide to walk towards it.","Ku_f=1"
"t100100","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","They thought there would be a closer food vendor.","Ku_f=0"
"t101101","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","The hot dog vendor was no longer selling hot dogs.","br_f=0"
"t110011","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","They were intentionally wasting time.","br_p=1"
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","Pizza didn't appeal to them so they looked for alternatives.","Pu_f=1"
"t001111","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","They looked for alternatives before choosing.","br_p=1"
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","They didn't want to go back the same way after trying the hot dog vendor but seeing that they were no longer selling hot dogs.","br_f=0"
"t111110","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","They wanted hot dogs.","Pu_f=1"
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","They went to the most convenient vendor.","C=0"
"t110100","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Parker wanted a change in food choices.","Pu_f=0"
"t101110","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","Jesse loves hot dogs.","P=1"
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","Drew is sporty and wants more exercise.","C=1"
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Brooklyn was hungry and wanted pizza.","Pu_f=0"
"t111111","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","Taylor is sporty and wants more exercise.","C=1"
"t100101","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","Harper does not know the area well and got lost.","K=0"
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","Charlie knows the area well and wanted hot dogs.","P=1"
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","Adrian does not know the area well and got lost.","K=0"
"t100010","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","Harper wanted his favourite food so went further afield as that is what he wanted most.","P=1"
"t110001","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","They wanted to go for a walk before eating but were too lazy at the end of the walk to go that bit further to go back to the hot dog stand","C=0"
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","His favourite food is pizza and he stopped when he found it","P=0"
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","He had already done his exercise and merely wanted to get some tea so knew where to go to get the food he wanted quickest","Ku_p=1"
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Charlie changed his mind after seeing the pizza place and decided he would rather have a hot dog","Pu_f=1"
"t111100","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","Taylor didn't fancy hot dogs tonight","Pu_f=0"
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Adrian just ate the first thing he found","Ku_f=0"
"t101011","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","Jesse thought they would go for a walk even after seeing the pizza place to see if there were any other options to eat. They didn't mind walking further to see what else there was.","br_p=1"
"t111011","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","Taylor wanted to take the long route to the hot dog stall because they are sporty and fancied a run.","C=1"
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","Adrian wanted to see if there were other food stalls, but doesn't like pizza.","P=1"
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","Drew fancied a longer run to the food truck as he is sporty.","C=1"
"t100001","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","Harper fancied a change from hot dogs.","Pu_f=0"
"t110000","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","Parker went for the closest food stall because he is lazy.","C=0"
"t101010","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","Jesse set out looking for the hot dog stall and got lucky by taking the shortest route.","Pu_f=1"
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","Brooklyn set out to explore and found the pizza stall.","K=0"
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","Charlie went to the nearest food stall because he is lazy,","C=0"
"t111111","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","that he doesnt like pizza at all","P=1"
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","that he was really hungry by the time he got to the hot dog stand,","Pu_f=1"
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","that he sight of the pizza stand piqued his appetite","Su=0"
"t110100","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","that he quite likes pizza aswell","P=0"
"t101110","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","that she spottted the hotdog stand","Su=1"
"t100101","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","that he wasnt hungry when he passed the hot dog stand","Pu_p=0"
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","that he wanted to explore before eating","br_p=1"
"t110110","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","saw the hotdog van","Su=1"
"t101000","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","must have been really hungry, went to closest place","Pu_p=1"
"t111001","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","went for a run as is sporty and decided on pizza for a change.","C=1"
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","is sporty,knows area,took longest route to hotdog stand.","C=1"
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","did not fancy pizza","Pu_f=1"
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","wanted pizza and took quickest route as lazy","Pu_f=0"
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","They go to the hot dog place since it is closer.","Su=1"
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","They go just for a walk and did not know the pizza place is around the corner.","Cu=1"
"t111011","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","They went to the hot dogs place as its their favourite.","P=1"
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","They wanted pizza and walked to get it.","Pu_f=0"
"t100001","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","They do not know where they are going and so only found a pizza place.","K=0"
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","They had no idea where they were going and found the hotdog place.","K=0"
"t110000","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","They went to the nearest place to get pizza as they did not want to walk.","C=0"
"t101010","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","They went for a walk and found their favourite place.","Cu=1"
"t100110","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","As they are lazy so have chosen shortest route","C=0"
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","As he doesnt know the area well","K=0"
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","because he likes hot dogs","P=1"
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","knows the area well and likely prefers hot dogs","P=1"
"t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","because they are sporty so enjoy extra walking","C=1"
"t110101","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","they know the area well and might not want to queue","K=1"
"t101111","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","favourite food is hot dogs","P=1"
"t111000","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","because they know the area well and what else is there","K=1"
"t111100","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","They go to the pizza stand because it's their favourite","P=0"
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Adrian goes to the pizza stand because it's near and he's lazy.","C=0"
"t110001","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","Parker is trying to exercise more and stop being lazy.","Cu=1"
"t101011","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","They don't know the area well enough to know there is a shorter route.","Ku_p=0"
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","They go to the hot dog stand because it's their favourite","P=1"
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","They go to the pizza stand because it's their favourite and are sporty.","P=0"
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Charlie is trying to stop being lazy.","Cu=1"
"t100010","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","They go to the hot dog stand because it's their favourite.","P=1"
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","Drew likes Pizza best and knows where the Pizza van is","P=0"
"t111010","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","Taylor's favourite is Hot Dogs and they know where the van is","P=1"
"t100000","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Harper is hungry and decides to have pizza as they van see the Pizza van.","Su=0"
"t101001","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","Jesse is getting some exercise, get hungry and decides to get some pizza even though hot dogs are their favourite.","C=1"
"t110111","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Parker takes the long route to the hot dog van even though they are lazy - they have turned over a new leaf and decided to get some extra exercise","Cu=1"
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","Charlie decides to get a hot dog but changes his mind and goes to the pizza van instead","Pu_f=0"
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","Adrian is hungry and sees a hot dog van so decides to get a hot dog","Su=1"
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","Brooklyn is taking an extended walk for exercise and sees a hot dog van and decides to get a hot dog","Su=1"
"t100011","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","He doesn't know the hot dog stand is at the corner","Ku_f=0"
"t011111","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","He wanted to take the long route because he is sporty","C=1"
"t111101","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","He wanted to try pizza and wanted to take a long route because he is sporty","C=1"
"t101100","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","He doesn't know the area well and he suddenly feels hungry when he is walking. So he buy the pizza from pizza stand when is walking along the path","K=0"
"t010000","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","He is lazy and hungry . So he wants to buy the food which is closer to him","C=0"
"t110010","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","He goes to hot dog stand because it is his favourite.He want to take the short route because he know the hot dog stand is at the corner","P=1"
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","Adrian doesn't know the area well. So he walk around the road to  familiar the area and buy the pizza  at the end of the walk","K=0"
"t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","He is hungry and he sees there is a hot dog stand.","Su=1"
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","he wanted the extra exercise to be relieved of some guilt.","Cu=1"
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","He took the shortest path and didn't want to get lost.","br_p=0"
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Shortest path to his distation","br_p=0"
"t110110","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","He doesn't want to do any unnecessary steps and to get their asap","C=0"
"t111001","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","He wants to do some exercise before having his food.","Cu=1"
"t100111","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","He might have believed that the other path was shorter, or mayhbe the road was blocked.","Ku_p=0"
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","He didn't know that the other path lead to the destination.","Ku_p=0"
"t101000","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","He took the shortest path, not knowing if he would find the other path there.","Ku_p=0"
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","He wanted a hot dog today for a change. He is sporty and fancied a long walk.","Pu_f=1"
"t101110","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","He didn't know the area and was very hungry. He wanted pizza, but would settle for a hot dog.","K=0"
"t100101","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","Today he really wanted pizza and decided to walk a long distance to get pizza.","Pu_f=0"
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","He was silly and walked the complete long way round to get pizza. If he knew the area, he could have saved so much time!","K=0"
"t111111","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","He did not know the area and walked straight past the pizza and ended up with a hot dog.","K=0"
"t110100","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Today he walked just a short didtance for pizza. Perhaps he is learning the area?","Ku_p=1"
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","He really walked a short didtance today to get pizza. He is learning.","Ku_p=1"
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","He just wanted a hot dog today. He was bored with pizza.","Pu_f=1"
"t111100","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","They wanted to get their exercise in, so took a longer route location and went for pizza.","Cu=1"
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Charlie went to the closest location, as he is lazy.","C=0"
"t100010","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","Harper went for a hot dog as it is his favourite.","P=1"
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","Drew chose a food truck close to him, to save time.","br_p=0"
"t110001","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","Parker decided to try something new today and went for pizza. Also even though he is lazy, he tried to challenge himself today.","Pu_f=0"
"t101011","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","Jesse wanted to try pizza and get her exercise in today.","Cu=1"
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Adrian is interested in convenience and does not want to travel far.","C=0"
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","He is a sporty person and chose to get to know the area and took a long walk to discover the pizza truck.","C=1"
"t001111","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","He is sporty and wanted to go for a long walk to see what is out there.","C=1"
"t110011","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","He must have been in a good mood and just wanted to have a look around. But he knew he would end up back for a hot dog.","P=1"
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","He was having a good day and went for a long walk.","br_p=1"
"t100100","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","He is lazy and thought another hot dog stand was closer.","C=0"
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","He already went for a long run and needed food quickly.","Pu_p=1"
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","He thought that another stall would be closer if he went the other way.","Ku_f=0"
"t111110","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","He knows what he likes and went straight to the hot dog stand.","P=1"
"t101101","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","He wanted to see what other food stands were around so he walked around the neighbourhood.","Ku_f=0"
