mindsCode,tag,response,index,digit1,digit2,digit3,digit4,digit5,digit6,annotation,Myrate
M062933,t010011,wanted to check out the pizza stand but then decided on hot dogs,2001,0,1,0,0,1,1,br_f=1,br_f=1
M606565,t100110,Walked from his friends house to get a hot dog for tea.,1951,1,0,0,1,1,0,Unclear,Pu=1
M509029,t011110,he wanted hot dogs,542,0,1,1,1,1,0,Pu=1,Pu=1
M079551,t001000,Brooklyn was hungry and didn't know the area well so went to the first available food stand that they could see.,1512,0,0,1,0,0,0,Su_f,Su_f
M361882,t010101,He didn't pay attention to the road and that's why he jumped the other food cart.,858,0,1,0,1,0,1,br_f=1,Ku=0
M299212,t101111,THey wanted a longer walk to get their favourite food because they are sporty and enjoy the longer walk.,1754,1,0,1,1,1,1,Cu_p=1,Cu_f=1
M523527,t100111,"Because Harper didn't know where the hot dog stand was, he took the long way around to it. But from their point of view, they continued walking until they found something familiar.",1180,1,0,0,1,1,1,Ku=0,K=0
M004946,t110101,He was in the mood for pizza,1858,1,1,0,1,0,1,Pu=0,Pu=0
M015403,t101110,Jesse's favourite food is hot dogs so he bee-lined to the hot dog stand to have one.,949,1,0,1,1,1,0,P=1,P=1
M072361,t011111,Drew decided to go for a run around the block today as he is sporty and fancied a jog. On completion of the run he then stopped at the hot dog stall.,1896,0,1,1,1,1,1,Cu_p=1,C=1
M833871,t111000,"Taylor would know there is a hot dog truck round the on the next corner, and does not seem to be lazy. I think it is likely that Taylor just wanted pizza this day.",1173,1,1,1,0,0,0,Pu=0,Pu=0
M057681,t001010,Maybe Brooklyn didn't like the look of the pizza stand and decided to press on until she found something else.,1115,0,0,1,0,1,0,br_f=1,br_f=1
M844097,t010101,Potentially the hot dog stand was closed/didn't have exactly what he wanted so he decided to get pizza instead,1326,0,1,0,1,0,1,br_f=1,br_f=0
M014920,t101101,"They didn't like the look of the hot dogs at the hot dog stand, so decided to look for something else.",595,1,0,1,1,0,1,br_f=1,br_f=0
M001033,t101011,They don't know the area well so went round the estate.,644,1,0,1,0,1,1,K=0,K=0
M295035,t000111,he just want around the area and ramdomly bought some food before going back,526,0,0,0,1,1,1,Unclear,br_f
M682432,t010101,Maybe the hot dogs were not appealing when she got to see them.,1444,0,1,0,1,0,1,br_f=1,br_f=0
M606565,t110101,He works serving pizza but fancied a hot dog.,1949,1,1,0,1,0,1,Pu=1,Pu=1
M157738,t110001,they want some exercise then pizza,1244,1,1,0,0,0,1,Cu_p=1,Cu_p=1
M339130,t100101,H e didnt want hot dogs and therefore kept walking to find something else to eat,1966,1,0,0,1,0,1,Pu=0,br_f=0
M030351,t111110,Their favourite food is hotdogs and they could see the stand.,1969,1,1,1,1,1,0,P=1,P=1
M174263,t010100,Charlie wanted a pizza.,1390,0,1,0,1,0,0,Pu=0,Pu=0
M091317,t001010,Brooklyn chose this path because they are sporty,42,0,0,1,0,1,0,C=1,C=1
M160205,t000110,He just went to the nearest food stand because he is lazy,1576,0,0,0,1,1,0,C=0,C=0
M030284,t101011,He was going for a run and saw the hot dog stand,1747,1,0,1,0,1,1,Cu_p=1,Su_f=1
M060188,t101111,They wanted the exercise.,1726,1,0,1,1,1,1,Cu_p=1,Cu_p=1
M244093,t001100,wanted to find alternative to hotdogs,1234,0,0,1,1,0,0,Pu=0,Pu=0
M001177,t010110,"Charlie went to the nearest food stall because he is lazy,",104,0,1,0,1,1,0,C=0,C=0
M279546,t100000,they could not be bothered to look around for the hot dog place even though it is their favourite,611,1,0,0,0,0,0,Cu_f=0,Cu_f=0
M196741,t111100,was shortest route,1826,1,1,1,1,0,0,br_p=0,Su_f
M695393,t110111,"Parker knows the area well, like hot dog and lazy but he chooses the longer path, there must be something which blocks the shorter path so that he did not choose it.",314,1,1,0,1,1,1,Su_p=1,Su_p=1
M079551,t100101,Harper went to the hot dog stand but wasn't impressed with their selection so decided to walk on to find something else,1511,1,0,0,1,0,1,br_f=1,br_f=0
M785342,t110101,they know the area well and might not want to queue,142,1,1,0,1,0,1,Ku=1,K=1
M125204,t010001,He walked around to get to know the area and ended up eating pizza before getting home.,1041,0,1,0,0,0,1,br_p=1,br_p=1
M666276,t001100,"Brooklyn is new to the area but can't see the hot dog stand. However, because they are sporty, they continue towards the pizza stand. Taylor may not enjoy hot dogs and also may have no problem in new surroundings.",1111,0,0,1,1,0,0,Cu_f=1,C=1
M380199,t111010,Taylor was hungry for hot dogs.,445,1,1,1,0,1,0,Pu=1,Pu=1
M122783,t101110,Jesse saw hotdogs stand and went there first,1348,1,0,1,1,1,0,Su_f=1,Su=1
M097520,t111010,Their favourite food is hot dogs and they could see it around the corner,1793,1,1,1,0,1,0,Pu=1,P=1
M593309,t001110,he was unfamiliar with the area and stopped at the nearest food stand due to being hungry,396,0,0,1,1,1,0,Ku=0,K=0
M072298,t100010,Harper prefers hotdogs,1159,1,0,0,0,1,0,P=1,P=1
M978587,t111101,because its the fastest route to the get the sales point,1052,1,1,1,1,0,1,Su_p=0,Su_f
M023390,t001111,Brooklyn walked the long route because he is sporty,1995,0,0,1,1,1,1,C=1,C=1
M973167,t010110,he knows where the food stalls are and wants hotdogs so he goes the most efficient way,1450,0,1,0,1,1,0,Pu=1,K=1
M102412,t010110,he wanted to eat the first food he could get.,1038,0,1,0,1,1,0,Cu_f=0,Su_f
M043484,t110010,Parker want straight for a hot dogs,61,1,1,0,0,1,0,Pu=1,Su_f=1
M268789,t100110,They can see hot dogs not too far away.,1223,1,0,0,1,1,0,Su_f=1,Su_f=1
M368421,t111101,Perhaps they went with the flow of traffic,1834,1,1,1,1,0,1,br_p=0,Su_p=1
M009749,t000111,Adrian is not familiar with the area so therefore does not know a quicker route / another option,341,0,0,0,1,1,1,K=0,K=0
M037368,t111000,They wanted the easiest and closest choice,1520,1,1,1,0,0,0,Su_p=0,Cu_f=0
M047399,t010000,This was the closest food that Charlie could see.,1421,0,1,0,0,0,0,Su_f,Su_f
M003175,t000101,"While Adrian was feeling a bit lazy, he walked past the hot dog truck and didn't feel like eating hot dogs on this occasion, so he kept walking - taking advantage of the opportunity to visit the area - until he found his happiness at the pizza truck",1312,0,0,0,1,0,1,Pu=0,Pu=0
M047399,t000001,Adrian wanted to get to know the area.,1423,0,0,0,0,0,1,Cu_p=1,br_p=1
M036833,t001100,He doesn't like hot dogs and he could see the hot dogs but smell the pizza so decided to walk in the direction of the smell in the hope he'd find pizza,1633,0,0,1,1,0,0,P=0,br_f=0
M047399,t110010,Parker really wanted a hot dog so kept walking till he found one.,1424,1,1,0,0,1,0,Pu=1,Pu=1
M066545,t001100,He likes pizza and this was the shortest way to the pizza stand.,1317,0,0,1,1,0,0,P=0,P=0
M087823,t110011,"Parker loves hot dogs so much, that they were willing to walk a little bit further to get to the hot dog stand today.",2060,1,1,0,0,1,1,Pu=1,Cu_f=1
M364753,t010000,Charlie is lazy so wants the closest food to his current postion.,602,0,1,0,0,0,0,C=0,C=0
M505993,t111010,they know the hotdog is there and its his favourite so took the shortest route probably because he was very hungry,548,1,1,1,0,1,0,Pu=1,K=1
M216624,t011110,Drew was not in the mood for taking a longer path.,1399,0,1,1,1,1,0,Cu_p=0,Cu_p=0
M453983,t100100,they didnt see the hot dog stand at the end of he street,459,1,0,0,1,0,0,Su_f=0,Su_f=0
M062933,t000100,pizza stand was the first stand he came upon so chose it because he is too lazy to continue looking,2005,0,0,0,1,0,0,Cu_f=0,Cu_f=0
M096147,t010110,He knows where the hot dog stand is and wanted a hot dog,661,0,1,0,1,1,0,Pu=1,K=1
M059061,t101100,Jesse doesn't know the area well and therefore may not know where the hotdog stand is.,271,1,0,1,1,0,0,K=0,K=0
M018984,t111101,They wanted something different for once,1540,1,1,1,1,0,1,Pu,Pu
M022949,t001001,They wanted a long walk to see what else was available,3,0,0,1,0,0,1,br_p=1,Cu_f=1
M740010,t011001,that he wanted to explore before eating,112,0,1,1,0,0,1,br_p=1,br_p=1
M995268,t110101,"Parker got to the hot dog stand using the most direct route but found that they were out of stock, so he continued on to the pizza stand instead.",513,1,1,0,1,0,1,br_f=1,br_f=0
M124396,t000000,it's the quickest,1556,0,0,0,0,0,0,Su_p=0,Su_f
