mindsCode,tag,response,index,digit1,digit2,digit3,digit4,digit5,digit6,P,C,K,S,Pu,Cu,Ku,Su,Unclear
M833871,t101111,Jesse is sporty and so walked around the block of houses to see what options they had. They stopped at the hot dog truck as they sell their favourite food. _ C=1,1176,1,0,1,1,1,1,,1,,,,,,,
M087770,t100001,dont no taken area so taken a walk _ K=0,214,1,0,0,0,0,1,,,,,,,,,1
M788090,t001100,was simply looking and found a pizza van _ S=0,424,0,0,1,1,0,0,,,,,,,1,,
M047399,t110010,Parker really wanted a hot dog so kept walking till he found one. _ Pu=1,1424,1,1,0,0,1,0,,,,,1,,,,
M279546,t100000,they could not be bothered to look around for the hot dog place even though it is their favourite _ C=0,611,1,0,0,0,0,0,,,,,,1,,,
M795620,t000000,it was the place they could see was close _ S=0,893,0,0,0,0,0,0,,,,1,,,,,
M890052,t101011,Jesse is sporty and walked the longer route to their favourite food _ C=1,1925,1,0,1,0,1,1,,1,,,,,,,
M188273,t101011,Jesse decided to explore the neighborhood until they came to a hot dog stand that was sufficiently far from their starting point _ Ku=1,1654,1,0,1,0,1,1,,,,,,,1,,
M216624,t100010,Harper took a really short route - cause he was really hungry and wanted to get there with minimal effort _ Su=1,1395,1,0,0,0,1,0,,,,,,,,1,
M380199,t010101,Charlie felt like going for a walk before eating. _ Cu=1,448,0,1,0,1,0,1,,,,,,1,,,
M102412,t010110,he wanted to eat the first food he could get. _ Su=1,1038,0,1,0,1,1,0,,,,,1,,,,
M245990,t011101,They wanted to keep fit and went the long way _ Cu=1,558,0,1,1,1,0,1,,,,,,1,,,
M292348,t001010,He wanted hot dogs and is fit enough to take the longer path _ Pu=1,1551,0,0,1,0,1,0,,,,,1,,,,
M268789,t000100,They may dislike hot dogs. _ P=0,1221,0,0,0,1,0,0,,,,,1,,,,
M072144,t001000,"Brooklyn saw the pizza truck and, because they don't know the area, went to it for convenience. _ K=0",1820,0,0,1,0,0,0,,,,1,,,,,
M298739,t000000,"Adrian took a straightforward and quick path to get to where he wanted to get to, which he did not have to think about much. _ C=0",1462,0,0,0,0,0,0,,,,1,,,,,
M091317,t101000,Jesse took this path because they don't know the area well _ K=0,44,1,0,1,0,0,0,,,1,,,,,,
M298739,t110001,"Parker took this path because he couldn't be bothered to look for alternatives, and just chose an area he is familiar with _ C=0",1461,1,1,0,0,0,1,,,,,,1,,,
M796127,t000110,"In order not to walk so much, he went to get the hot dog truck... _ C=0",1085,0,0,0,1,1,0,,,,,,1,,,
M024817,t110001,The hot dog stand was out of hot dogs. _ Su=0,1707,1,1,0,0,0,1,,,,,,,,1,
M523527,t100111,"Because Harper didn't know where the hot dog stand was, he took the long way around to it. But from their point of view, they continued walking until they found something familiar. _ K=0",1180,1,0,0,1,1,1,,,,,,,1,,
M018984,t001110,It's the only one they could see _ S=0,1538,0,0,1,1,1,0,,,,1,,,,,
M102412,t011101,To eat a delicious pizza. _ Pu=0,1033,0,1,1,1,0,1,,,,,1,,,,
M157738,t100010,they fancy hot dog _ Pu=1,1243,1,0,0,0,1,0,,,,,1,,,,
M235409,t101010,"They decided to take the long route being sporty, then saw the hot dog stand so stopped for a bite to eat _ C=1",762,1,0,1,0,1,0,,,,1,,,,,
M302180,t001101,He is a sporty person and chose to get to know the area and took a long walk to discover the pizza truck. _ C=1,192,0,0,1,1,0,1,,,,,,,1,,
M548118,t001101,His favourite food is pizza and he stopped when he found it _ P=0,91,0,0,1,1,0,1,1,,,,,,,,
M361882,t010101,He didn't pay attention to the road and that's why he jumped the other food cart. _ Unclear,858,0,1,0,1,0,1,,,,,,,,1,
M368421,t111101,Perhaps they went with the flow of traffic _ Unclear,1834,1,1,1,1,0,1,,,,,,,,1,
M182341,t000000,Adrian is definitely very lazy. _ C=0,321,0,0,0,0,0,0,,1,,,,,,,
M157738,t011110,they're hungry _ Su=1,1241,0,1,1,1,1,0,,,,,,,,1,
M451106,t110011,They wanted to take the long route because they are sporty _ C=1,780,1,1,0,0,1,1,,1,,,,,,,
M064601,t101110,Jesse loves hot dogs. _ P=1,82,1,0,1,1,1,0,1,,,,,,,,
M025532,t110101,the hot dog stand was closed _ Su=0,1344,1,1,0,1,0,1,,,,,,,,1,
M003175,t000101,"While Adrian was feeling a bit lazy, he walked past the hot dog truck and didn't feel like eating hot dogs on this occasion, so he kept walking - taking advantage of the opportunity to visit the area - until he found his happiness at the pizza truck _ Pu=0",1312,0,0,0,1,0,1,,,,,,1,,,
M957429,t111000,They don't have time for a long route or to get to their favourite food today _ Su=0,1074,1,1,1,0,0,0,,,,,,,,1,
M784724,t010001,charlie just wanted pizza _ Pu=0,1495,0,1,0,0,0,1,,,,,1,,,,
M053971,t000010,He went that way on a whim _ Unclear,1143,0,0,0,0,1,0,,,,,,,,1,
M876420,t001010,He was walking and felt like hotdogs as he walked past the cart. _ Pu=1,1071,0,0,1,0,1,0,,,,,1,,,,
M174263,t010100,Charlie wanted a pizza. _ Pu=0,1390,0,1,0,1,0,0,,,,,1,,,,
M606565,t110101,He works serving pizza but fancied a hot dog. _ Pu=1,1949,1,1,0,1,0,1,,,,,1,,,,
M481805,t101011,Jesse was looking for hot dogs and kept walking until he found them _ Pu=1,29,1,0,1,0,1,1,,,,,1,,,,
M062933,t000100,pizza stand was the first stand he came upon so chose it because he is too lazy to continue looking _ C=0,2005,0,0,0,1,0,0,,,,1,,,,,
M068961,t011000,He already went for a long run and needed food quickly. _ Su=1,197,0,1,1,0,0,0,,,,,1,,,,
M062933,t010011,wanted to check out the pizza stand but then decided on hot dogs _ Pu=1,2001,0,1,0,0,1,1,,,,,1,,,,
M196741,t111100,was shortest route _ C=0,1826,1,1,1,1,0,0,,,,1,,,,,
M593309,t101100,They were not aware of the hot dog stand around the corner as they are unfamiliar with the area _ K=0,393,1,0,1,1,0,0,,,1,,,,,,
M019551,t101000,She chose the first truck she got to because she didn't know what else was about. _ K=0,1648,1,0,1,0,0,0,,,1,,,,,,
M157738,t000000,shortest route _ C=0,1242,0,0,0,0,0,0,,,,1,,,,,
M235409,t001100,"Brooklyn is sporty and saw the hot dog stand, they decided to take the long route to the hotdog stand but on the way they saw the pizza stand. They preferred pizza so stopped to eat _ P=0",767,0,0,1,1,0,0,,,,,,,,1,
M085827,t011011,They wanted to walk more. _ Cu=1,1228,0,1,1,0,1,1,,,,,,1,,,
M565067,t111001,He wants to do some exercise before having his food. _ Cu=1,173,1,1,1,0,0,1,,,,,,1,,,
M014920,t101101,"They didn't like the look of the hot dogs at the hot dog stand, so decided to look for something else. _ Su=0",595,1,0,1,1,0,1,,,,,,,,1,
M928115,t000001,Adrian didn't know which way to take as he was not familiar with route _ K=0,1678,0,0,0,0,0,1,,,1,,,,,,
M978587,t010000,Charlie is just been lazy but still find a way to get to sales point _ C=0,1053,0,1,0,0,0,0,,1,,,,,,,
M104944,t001001,Brooklyn loves pizza so much he decided to take the longest route possible to the pizza truck _ P=0,334,0,0,1,0,0,1,1,,,,,,,,
M519454,t010001,It's possible Charlie wanted to look at the hot dog stand and changed his mind. _ Unclear,1265,0,1,0,0,0,1,,,,,,,,1,
M004430,t111111,He wanted to 'earn' his snack so took the long way round _ Cu=1,1599,1,1,1,1,1,1,,,,,,1,,,
M001177,t001100,Brooklyn set out to explore and found the pizza stall. _ Ku=1,103,0,0,1,1,0,0,,,,,,,1,,
M079551,t100101,Harper went to the hot dog stand but wasn't impressed with their selection so decided to walk on to find something else _ Su=0,1511,1,0,0,1,0,1,,,,,,,,1,
M015403,t101110,Jesse's favourite food is hot dogs so he bee-lined to the hot dog stand to have one. _ P=1,949,1,0,1,1,1,0,1,,,,,,,,
M453983,t100100,they didnt see the hot dog stand at the end of the street _ K=0,459,1,0,0,1,0,0,,,,1,,,,,
M216624,t010111,Not being familiar with the area - they didnt know there any easier and short route _ K=0,1397,0,1,0,1,1,1,,,1,,,,,,
M037368,t110101,The Hot Dog stand was closed _ Su=0,1515,1,1,0,1,0,1,,,,,,,,1,
M102661,t011010,he wanted a hot dog _ Pu=1,923,0,1,1,0,1,0,,,,,1,,,,
M895939,t100111,He thought about trying pizza for a change but didn't like the look of it so kept going for hotdogs _ Su=0,1487,1,0,0,1,1,1,,,,,,,,1,
